original_id,consensus_id
Bendamustine,518
Bendamustine ,518
NSC-138783,518
BENDAMUSTINE HCL,518
BENDAMUSTINE HYDROCHLORIDE,518
bendamustine,518
Bendamustine hydrochloride,518
BENORILATE,519
BETULINIC ACID,520
betulinic acid,520
bexarotene,521
BEXAROTENE,521
Bexarotene ,521
Bexarotene,521
nvp-bez235,522
"BEZ235 (NVP-BEZ235, Dactolisib)",522
BEZ 235,522
BEZ235,522
BEZ-235,522
Dactolisib,522
bez-235,522
NVP-BEZ235,522
BGB-283,523
BGB324,524
R428,524
R-428,524
Bemcentinib,524
BGJ398 (NVP-BGJ398),525
BGJ-398,525
BGJ398,525
Infigratinib,525
NVP-BGJ398,525
BGT226 (NVP-BGT226),526
BGT-226,526
BGT226,526
NVP-BGT226,526
BI-2536,527
BI2536,527
BI 2536,527
BI-6727,528
Volasertib,528
Volasertib (BI 6727),528
Volasertib (BI-6727),528
BI6727,528
JNK INHIBITOR X,529
BI-78D3,529
BI-D1870,530
BIA,531
Vargatef,532
Nintedanib,532
nintedanib,532
NINTEDANIB,532
BIBF-1120,532
Nintedanib (BIBF 1120),532
BIBR-1532,533
BIBS 39,534
Bicalutamide,535
BICALUTAMIDE,535
BIIB-021,536
BIIB021,536
CNF-2024,536
BIM-46187 ,537
BIO,538
GSK-3 inhibitor IX,538
BIRB 796 (Doramapimod),539
DORAMAPIMOD,539
BIRB-796,539
BIRB 0796,539
Doramapimod ,539
Doramapimod (BIRB 796),539
Doramapimod,539
Birinapant,540
TL-32711,540
birinapant,540
BIRINAPANT,540
BIX 02188,541
BIX 02189,542
BIX02189,542
BIX-01294,543
BIX01294,544
BIX01294(HYDROCHLORIDE HYDRATE),544
BKM-120,545
Buparlisib,545
BUPARLISIB,545
"BKM120 (NVP-BKM120, Buparlisib)",545
BKM120,545
BLEOMYCIN,546
BLEOMYCIN (50 UM),546
Bleomycin,546
NSC-125066,546
Bleomycin ,546
Bleomycin sulfate,547
BLEOMYCIN SULFATE,547
bleomycin A2,547
BLEOMYCIN A2,547
BLU9931,548
BLZ945,549
BLZ-945,549
BML-259,550
BML-277,551
CHK2 INHIBITOR II,551
BMN-673 (racemate),552
BMN-673 (inactive enantiomer),552
Talazoparib,552
BMN-673,552
TALAZOPARIB,552
BMN 673,552
BMS 195614,553
BMS-195614,553
BMS 204352,554
BMS 270394,555
BMS-270394,555
BMS-345541,556
BMS 345541,556
BMS-265246,557
BMS-299897,558
"BMS-509744, KIN001-127",559
BMS-536924,560
bms536924,560
BMS-582664 ,561
Brivanib Alaninate (BMS-582664),561
BMS-582949 ,562
BMS-582949,562
BMS-690514,563
BMS-754807,564
BMS-794833,565
BMS-833923,566
BMS-911543,567
BMS-983970,568
BMS863233,569
XL413,569
BMX-IN-1,570
BMY 7378 dihydrochloride,571
Bortezomib  ,572
Bortezomib (Velcade),572
