smiles,pubchem_compound_id,pubchem_substance_id,pubchem_parent_compound_id,name,pubchem_name
,8269.0,,,"ACETALAX, OXYPHENISATIN ACETATE",Oxyphenisatin Acetate
Cc1cc(NC(=O)NCCN2CCC(O)(Cc3ccccc3)CC2)c2ccccc2n1,10173280.0,,10173280.0,ACT 058362; Palosuran,Palosuran
,,,,ACT1-013,
O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,53340666.0,,53340666.0,ACY-1215,Ricolinostat
O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2Cl)nc1)NO,53340426.0,,53340426.0,ACY-241,Citarinostat
O=C(NO)c1cnc(NC2(c3ccccc3)CC2)nc1,57381425.0,,57381425.0,ACY-738,Acy-738
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,6022.0,,6022.0,ADP,5'-Adp
Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2C1CC(CN2CCCC2)C1,9825149.0,,9825149.0,ADW-742,Nvp-adw742
O=C(c1ccc(F)cc1)N1CCC[C@H](c2nc(-c3ccc(F)cc3)no2)C1,11383075.0,,11383075.0,ADX 47273,Adx 47273
CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,10296883.0,,10296883.0,AEB-071,Sotrastaurin
